"Timestamp","1. How many Ceph Clusters do you manage?","2. Where should the multi-cluster feature reside?","3. When managing multiple clusters, do you think having the ability to organise 'like' clusters into groups would be beneficial?","4. What kinds of attributes do you think are important when getting a high-level understanding of a Ceph cluster?","5. Would understanding the services supported by each cluster be beneficial? For example; rbd, file, object, iscsi, NFS etc ","6. Should the multi-cluster interface allow you to change the configuration on any cluster directly?","7. Should the interface provide an aggregated view of all alerts across all clusters","8. Should the interface provide an aggregated view of key statistics from all clusters","9. Should Capacity Planning be a component of the multi-cluster manager feature","10. The accuracy of capacity planning and forecasting depends upon the size of the data model. In your organisation, what time period do you use for forecasting?","11. Do you think a multi-cluster feature requires high availability?","12. Assuming alert visibility across your clusters is important, what are the monitoring stacks the feature should integrate with?","13. What other features could be considered valuable to a multi-cluster solution?"
"2022/03/17 3:35:05 AM GMT+13","2-5","as a standalone tool, separate from all clusters","Don't know","Cluster State (OK, WARN, ERROR);Active alerts count (and severity);Capacity %utilised;Ceph version","Yes","No","Yes","","Yes","6 months","No","Prometheus / Alertmanager",""
"2022/03/17 10:08:52 AM GMT+13","> 5","as a standalone tool, separate from all clusters","Yes","Current IOPS / throughput;Cluster State (OK, WARN, ERROR);Capacity %utilised","No","No","Yes","Yes","Yes","6 months","No","Prometheus / Alertmanager","I have extensive experience in observability for multiple Ceph clusters using standalone Prometheus and Grafana; this is one of the major shortcomings of the existing dashboard.  MCM should be seperate from Ceph releases to minimize dependencies. Avoid feeping createrism here:  enterprises already have alerting systems, so one implemented here would be redundant.  At most have a shellout hook to a script that would interface with local policy."
"2022/03/17 10:09:35 AM GMT+13","1","as a feature of the ceph dashboard UI on one of the clusters","Yes","Current IOPS / throughput;Cluster State (OK, WARN, ERROR);Active alerts count (and severity);Capacity %utilised;Ceph version","Yes","Yes","Yes","Yes","Yes","6 months","Yes","Prometheus / Alertmanager","Centralised alert policy - common alerts for all clusters;CLI access to any cluster (embedded widget);Bootstrapping rbd-mirror and cephfs-mirror relationships;Moving /cloning pools between clusters."
"2022/03/17 10:15:13 AM GMT+13","2-5","as a standalone tool, separate from all clusters","Don't know","Current IOPS / throughput;Cluster State (OK, WARN, ERROR);Active alerts count (and severity);Capacity %utilised","No","No","Yes","Yes","Yes","1 month","No","Prometheus / Alertmanager","should be view only. config should happen via gitops."
"2022/03/17 10:16:41 AM GMT+13","2-5","as a standalone tool, separate from all clusters","Yes","Current IOPS / throughput;Cluster State (OK, WARN, ERROR);Active alerts count (and severity);Capacity %utilised;Ceph version","Yes","No","Yes","No","No","1 year","No","Prometheus / Alertmanager","Centralised alert policy - common alerts for all clusters"
"2022/03/17 10:52:49 AM GMT+13","> 5","as a standalone tool, separate from all clusters","Yes","Current IOPS / throughput;Cluster State (OK, WARN, ERROR);Active alerts count (and severity);Capacity %utilised","Yes","Yes","Yes","Yes","Yes","1 year","Yes","Prometheus / Alertmanager","Centralised alert policy - common alerts for all clusters;Applying Ceph config overrides by policy;CLI access to any cluster (embedded widget)"
"2022/03/17 11:01:57 AM GMT+13","> 5","as a standalone tool, separate from all clusters","Yes","Current IOPS / throughput;Cluster State (OK, WARN, ERROR);Active alerts count (and severity);Capacity %utilised;OSD count;Node count;Ceph version","Yes","No","Yes","Yes","Yes","6 months","Yes","graphite / collectd / grafana","Centralised alert policy - common alerts for all clusters;Bootstrapping rbd-mirror and cephfs-mirror relationships"
"2022/03/17 11:30:59 AM GMT+13","2-5","as a feature of the ceph dashboard UI on one of the clusters","Yes","Cluster State (OK, WARN, ERROR);Capacity %utilised;OSD count","Yes","No","Yes","Yes","Yes","6 months","No","Prometheus / Alertmanager","Centralised alert policy - common alerts for all clusters;CLI access to any cluster (embedded widget);Bootstrapping rbd-mirror and cephfs-mirror relationships"
"2022/03/17 11:39:35 AM GMT+13","1","as a standalone tool, separate from all clusters","Don't know","Cluster State (OK, WARN, ERROR);Active alerts count (and severity);Capacity %utilised;OSD count;Ceph version","Yes","Yes","Yes","Yes","Yes","6 months","Yes","Prometheus / Alertmanager","CLI access to any cluster (embedded widget)"
"2022/03/17 11:53:35 AM GMT+13","2-5","as a feature of the ceph dashboard UI on one of the clusters","Don't know","Cluster State (OK, WARN, ERROR);Active alerts count (and severity);Overview on realms and zonegroups, as they are distributed through clusters","Yes","No","Yes","Yes","Yes","We don't, my Ceph cluster ist just used for development and testing","No","This is more a question of priority, I think...","Integration of Ceph's own inter-cluster functionality, i.e. realms, zonegroups, replication and mirroring etc."
